,PetID,Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,State,Quantity,Fee,VideoAmt,PhotoAmt,AdoptionSpeed
0,86e1089a3,Cat,Nibble,3,Tabby,Tabby,Male,Black,White,White,Small,Short,No,No,No,Healthy,Selangor,1,100,0,1.0,2
1,6296e909a,Cat,No Name Yet,1,Domestic Medium Hair,Domestic Medium Hair,Male,Black,Brown,Brown,Medium,Medium,NA,NA,NA,Healthy,Kuala Lumpur,1,0,0,2.0,0
2,3422e4906,Dog,Brisco,1,Mixed Breed,Mixed Breed,Male,Brown,White,White,Medium,Medium,Yes,Yes,No,Healthy,Selangor,1,0,0,7.0,3
3,5842f1ff5,Dog,Miko,4,Mixed Breed,Mixed Breed,Female,Black,Brown,Brown,Medium,Short,Yes,Yes,No,Healthy,Kuala Lumpur,1,150,0,8.0,2
4,850a43f90,Dog,Hunter,1,Mixed Breed,Mixed Breed,Male,Black,Black,Black,Medium,Short,No,No,No,Healthy,Selangor,1,0,0,3.0,2
5,d24c30b4b,Cat,Still Water,3,Domestic Short Hair,Domestic Short Hair,Female,Cream,Gray,Gray,Medium,Short,No,No,No,Healthy,Selangor,1,0,0,2.0,2
6,1caa6fcdb,Cat,BULAT,12,Domestic Long Hair,Domestic Long Hair,Male,Black,Black,Black,Medium,Long,No,No,NA,Healthy,Selangor,1,300,0,3.0,1
7,97aa9eeac,Dog,Siu Pak & Her 6 Puppies,0,Mixed Breed,Mixed Breed,Female,Black,Brown,White,Medium,Short,No,No,No,Healthy,Selangor,6,0,0,9.0,3
8,c06d167ca,Cat,Still Water,2,Domestic Medium Hair,Domestic Medium Hair,Female,Gray,Gray,Gray,Medium,Medium,No,No,No,Healthy,Selangor,1,0,0,6.0,1
9,7a0942d61,Cat,Kitty,12,Domestic Medium Hair,Domestic Medium Hair,Female,Black,White,White,Medium,Medium,NA,NA,NA,Healthy,Selangor,1,0,0,2.0,4
10,8b693ca84,Dog,Bear,2,Mixed Breed,Mixed Breed,Male,Black,Brown,White,Medium,Short,No,Yes,No,Healthy,Kuala Lumpur,1,0,0,7.0,1
11,8e76c8e39,Cat,Kali,3,Domestic Long Hair,Domestic Long Hair,Female,Black,Brown,Cream,Large,Long,Yes,Yes,No,Healthy,Selangor,1,50,0,2.0,1
12,aaedd873d,Dog,Peanut,2,Mixed Breed,Mixed Breed,Male,Brown,Cream,Gray,Medium,Long,Yes,Yes,No,Healthy,Selangor,1,0,0,1.0,2
13,4a9793dfb,Cat,2 Mths Old Cute Kitties,2,Domestic Medium Hair,Domestic Medium Hair,Mixed,Black,Gray,White,Small,Medium,No,No,NA,Healthy,Selangor,7,0,0,1.0,1
14,c02be41e6,Dog,Lost Dog,3,Mixed Breed,Mixed Breed,Female,Brown,Cream,White,Medium,Medium,NA,NA,NA,Healthy,Kuala Lumpur,1,0,0,2.0,2
15,1fd342e17,Dog,Max,78,Terrier,Shih Tzu,Male,Black,White,White,Medium,Medium,NA,NA,NA,Healthy,Selangor,1,0,0,2.0,4
16,b38a74866,Cat,Brownie,6,Domestic Short Hair,Domestic Short Hair,Female,Brown,Brown,Brown,Small,Short,Yes,Yes,Yes,Healthy,Selangor,1,0,0,1.0,3
17,f9d07d5fa,Dog,Blackie,8,Mixed Breed,Mixed Breed,Female,Brown,Brown,Brown,Medium,Short,No,Yes,Yes,Healthy,Perak,1,10,0,2.0,4
18,1c92ce464,Dog,Beauty,2,Mixed Breed,Mixed Breed,Female,Black,Black,Black,Medium,Short,No,Yes,No,Healthy,Kuala Lumpur,1,0,0,8.0,2
19,b10e7605a,Cat,Still Water,1,Domestic Short Hair,Domestic Short Hair,Mixed,Black,Brown,White,Small,Short,No,No,No,Healthy,Selangor,5,0,0,1.0,4
20,6436c1a59,Dog,Godiva,12,Mixed Breed,Mixed Breed,Female,Brown,White,White,Medium,Medium,No,Yes,Yes,Healthy,Selangor,1,0,0,7.0,2
21,234a5a54c,Dog,Tigers,3,Mixed Breed,Mixed Breed,Female,Gray,Gray,Gray,Medium,Short,No,Yes,No,Healthy,Selangor,3,0,0,5.0,4
23,1bf24d8be,Dog,Donut,10,Mixed Breed,Hound,Female,Black,Brown,White,Medium,Medium,Yes,Yes,Yes,Healthy,Selangor,1,0,0,0.0,4
24,988988d5b,Cat,Cikenet,3,Domestic Short Hair,Domestic Short Hair,Male,Brown,White,White,Small,Short,No,Yes,No,Healthy,Kuala Lumpur,1,0,0,19.0,1
25,cf7d3eec0,Cat,Garfield,36,Persian,British Shorthair,Male,Golden,Golden,Golden,Large,Medium,Yes,Yes,Yes,Healthy,Selangor,1,0,0,3.0,2
26,85fc3c314,Cat,No Name,2,Persian,Domestic Medium Hair,Male,Golden,Golden,Golden,Medium,Medium,No,No,No,Healthy,Kuala Lumpur,1,0,0,11.0,1
27,efbf1703a,Cat,No Name,1,Domestic Short Hair,Domestic Short Hair,Female,Black,Black,Black,Medium,Short,No,No,No,Healthy,Selangor,1,0,0,2.0,2
28,7843a9dca,Dog,Hunter,14,Rottweiler,Rottweiler,Male,Black,Brown,Brown,Large,Short,Yes,Yes,No,Healthy,Selangor,1,1,0,0.0,3
29,d341fbfd6,Cat,Pepper,1,Domestic Short Hair,Domestic Short Hair,Female,Brown,White,White,Small,Short,No,Yes,No,Healthy,Pulau Pinang,1,0,0,1.0,2
30,1a76190c5,Dog,Benji & Kimi,4,Shih Tzu,Terrier,Mixed,Brown,White,White,Small,Medium,Yes,Yes,Yes,Healthy,Selangor,2,0,0,5.0,3
31,edb920079,Cat,Kekok,1,Domestic Short Hair,Domestic Short Hair,Male,Black,Black,Black,Small,Short,No,No,No,Healthy,Terengganu,1,0,0,1.0,1
32,543130f60,Dog,BoiBoi,24,Mixed Breed,Mixed Breed,Male,Cream,White,White,Medium,Short,Yes,Yes,No,Healthy,Selangor,5,0,0,1.0,4
33,9415bc79e,Cat,Still Water,4,Domestic Short Hair,Domestic Short Hair,Female,Black,Gray,White,Small,Short,No,No,No,Healthy,Selangor,2,0,0,7.0,3
34,4c6fe4100,Cat,Kitten Girl Girl,3,Domestic Short Hair,Domestic Short Hair,Female,Black,White,White,Small,Short,Yes,No,No,Healthy,Pulau Pinang,1,1,0,5.0,4
35,0737e4f11,Cat,Tom,12,Domestic Long Hair,Domestic Long Hair,Female,Gray,Gray,Gray,Medium,Long,No,No,No,Healthy,Selangor,1,0,0,5.0,1
36,61fa73996,Cat,Still Water,24,Domestic Medium Hair,Siamese,Female,Black,Yellow,Yellow,Medium,Medium,Yes,Yes,NA,Healthy,Selangor,3,0,0,2.0,4
37,eabb13cea,Cat,Comel,2,Domestic Medium Hair,Domestic Medium Hair,Female,Brown,Brown,Brown,Small,Medium,No,No,No,Healthy,Selangor,1,0,0,3.0,1
38,deff069a2,Dog,WHISKY,12,Mixed Breed,Mixed Breed,Male,Black,Black,Black,Medium,Short,No,No,No,Healthy,Johor,1,0,0,4.0,1
39,4e3640544,Dog,Boy,12,Mixed Breed,Mixed Breed,Male,Cream,Cream,Cream,Medium,Medium,Yes,Yes,No,Healthy,Selangor,1,0,0,1.0,3
40,ace21b6b1,Cat,Angel,2,Domestic Medium Hair,Domestic Short Hair,Female,White,White,White,Medium,Medium,No,Yes,No,Healthy,Selangor,1,0,0,13.0,3
41,8ee223a17,Cat,"Drax Aka Fatso, Quill & Rocket",1,Domestic Short Hair,Domestic Short Hair,Mixed,Black,Brown,White,Small,Short,No,No,No,Healthy,Selangor,3,0,0,1.0,2
42,9a38d4275,Cat,Novy,24,Siamese,Persian,Female,White,White,White,Medium,Long,NA,NA,NA,Minor Injury,Selangor,6,0,0,1.0,1
43,671ffc570,Dog,Jack,5,Jack Russell Terrier,Mixed Breed,Male,White,White,White,Medium,Short,Yes,Yes,Yes,Healthy,Kuala Lumpur,1,0,0,6.0,3
44,aece6e7bf,Dog,Xiao Gou,12,Mixed Breed,Mixed Breed,Male,Brown,White,White,Medium,Medium,No,Yes,Yes,Healthy,Johor,1,0,0,2.0,4
45,c1e816568,Dog,Blackie & Spotty,4,Mixed Breed,Mixed Breed,Male,Black,White,White,Medium,Short,No,No,No,Healthy,Selangor,2,0,0,11.0,4
